title,lyrics,album
Calling Me Too Soon,"Hear you calling, hateful darling You're so sweet, but you can't stay Won't be easy, 'cause you please me Lifeless doll dressed up to play Don't make something out of nothing Feel your dreams just slip away Careful with me, doesn't fit me Just pretend for one more day All along I thought I was wrong Or so it's screamed across the room All along I feel it's strong I feel it calling, calling me too soon Awful timing, hear him whining Drive these ghosts away from me Playful sinner, wants me in her Please just stay away from me It's good headache, little bone breaks Like a matchstick, play for me Hurt me tender, one last bender Going down so gracefully  Hear you calling, hateful darling You're so sweet, but you can't stay Won't be easy, 'cause you please me Lifeless doll dressed up to play Don't make something out of nothing Feel your dreams just slip away Careful with me, doesn't fit me Just pretend for one more day All along I thought I was wrong Or so it's screamed across the room All along I feel it's strong I feel it calling, calling me too soon Awful timing, hear him whining Drive these ghosts away from me Playful sinner, wants me in her Please just stay away from me It's good headache, little bone breaks Like a matchstick, play for me Hurt me tender, one last bender Going down so gracefully All along I thought I was wrong Or so it's screamed across the room All along I feel it's strong I feel it calling, calling me too soon I don't need you, what the fuck you're here for? Slam my fist against the door, oh no, don't go I'm gon' break it down, all of me is tied and torn I don't need, no, is there right or wrong? Curse the day when I was born I don't need you, what the fuck's it for? Slam my face against the door All along I thought I was wrong Or so it's screamed across the room All along I feel it's strong I feel it calling me too soon All along I thought I was wrong Or so it's screamed across the room All along I feel it's strong Calling me too soon I don't need you I don't need you",The Serenity of Suffering
Do What They Say,"Walk away when you're angry Brace yourself, there's nothing to gain Old enough to know the outcome More blood, it's always the same Aren't we cool and aren't we calm? For facing death, we run head-on Aren't we cool and aren't we calm? For God, we've suffered for so long Aren't we cool and aren't we calm? For facing death, we run head-on Do what they say Or they take it away I'd rather be dead than carry on Bite your lip, don't be cursing We mustn't take God's name in vain Blunt your knife, pull the curtain Impulses you must refrain Aren't we cool and aren't we calm? For facing death, we run head-on Aren't we cool and aren't we calm? For God, we've suffered for so long Aren't we cool and aren't we calm? For facing death, we run head-on  Walk away when you're angry Brace yourself, there's nothing to gain Old enough to know the outcome More blood, it's always the same Aren't we cool and aren't we calm? For facing death, we run head-on Aren't we cool and aren't we calm? For God, we've suffered for so long Aren't we cool and aren't we calm? For facing death, we run head-on Do what they say Or they take it away I'd rather be dead than carry on Bite your lip, don't be cursing We mustn't take God's name in vain Blunt your knife, pull the curtain Impulses you must refrain Aren't we cool and aren't we calm? For facing death, we run head-on Aren't we cool and aren't we calm? For God, we've suffered for so long Aren't we cool and aren't we calm? For facing death, we run head-on Do what they say Or they take it away I'd rather be dead than carry on So I carry on with this burden I can't remember anything I can't be certain Aren't we cool and aren't we calm? For facing death, we run head-on Do what they say Or they take it away I'd rather be dead than carry on",Untitled
For No One,"I'm getting out, I'm leaving here I'm kicking right through this door I stole your girl who was my girl I always said she's a whore Bust through, accelerate From everything I hate Now this is my kind of disaster Break in and take what we want And then burn down the liquor store Pick up our friends tell 'em ""Let's all get in don't ask what it's for."" Subwoofer kicking it Porn on the TV screen These spinning rims don't go no faster We can drive all night And we're not gonna stop for the pigs or no one Just follow the light And we're not gonna stop for the pigs or no one We're flipping off the people Who dissed on us, that's just our game We're throwing bricks right through their windows And then we drive away Let's break this, spin around New things are better found We keep on changing our direction Go past the school, the church The places that caused us hurt, we're done If we keep moving forward Maybe we'll forget where we're from We're gonna shake things up We're gonna break you down We'll fuel this car with our rejection  I'm getting out, I'm leaving here I'm kicking right through this door I stole your girl who was my girl I always said she's a whore Bust through, accelerate From everything I hate Now this is my kind of disaster Break in and take what we want And then burn down the liquor store Pick up our friends tell 'em ""Let's all get in don't ask what it's for."" Subwoofer kicking it Porn on the TV screen These spinning rims don't go no faster We can drive all night And we're not gonna stop for the pigs or no one Just follow the light And we're not gonna stop for the pigs or no one We're flipping off the people Who dissed on us, that's just our game We're throwing bricks right through their windows And then we drive away Let's break this, spin around New things are better found We keep on changing our direction Go past the school, the church The places that caused us hurt, we're done If we keep moving forward Maybe we'll forget where we're from We're gonna shake things up We're gonna break you down We'll fuel this car with our rejection We can drive all night And we're not gonna stop for the pigs or no one Just follow the light And we're not gonna stop for the pigs or no one You can never go back, not even If you wanted to know where, you're in deep now You've been fucking up real good lately One minute you come from zero, go now We can drive all night And we're not gonna stop for the pigs or no one Just follow the light And we're not gonna stop for the pigs or no one We can drive all night And we're not gonna stop for the pigs or no one Just follow the light And we're not gonna stop for the pigs or no one",See You On The Other Side
What We Do,"Sometimes things get in the way My thoughts I cannot convey It's all pointing straight at you We hate loving every day Our lives swirled in every way I give it all back to you I can help this going down I can't take this All my life is reckless All our lies are dangerous But we fake our way through, that's what we do We do Sometimes things don't go away In time, you just run away It's all coming back for you Betrayed, life is in decay Your thoughts you cannot obey Right now, what you gonna do?  Sometimes things get in the way My thoughts I cannot convey It's all pointing straight at you We hate loving every day Our lives swirled in every way I give it all back to you I can help this going down I can't take this All my life is reckless All our lies are dangerous But we fake our way through, that's what we do We do Sometimes things don't go away In time, you just run away It's all coming back for you Betrayed, life is in decay Your thoughts you cannot obey Right now, what you gonna do? I can help this going down I can't take this All my life is reckless All our lies are dangerous But we fake our way through, that's what we do We do, we do, we do, we do We do, we do, we do, we do, we do I hear the calling of the helpless stranger He's all alone, and no one gets his anger I feel his pain every time I'm here with you, with you All the heartache and the fucked up insults I find you begging on your knees, I figured This is how it's supposed to be with you, with you I can't wait for your lies to be broken down I gave you hell I can't take this All my life is reckless All our lies are dangerous But we fake our way through, that's what we do I can't take this All my life is reckless All our lies are dangerous But we fake our way through, that's what we do",The Paradigm shift
Way Too Far,"Here it comes once again 'Irrational' I give in Paranoia expands within Little voices start to begin... Everyone's out to take your joy away Constantly scheming to keep us at bay Everyone's plotting and they are just taking You must make it stop, make them pay Sometimes I just take things Way too far Irrational feelings I just try too hard 'cause... What goes up must come down The problem is I have no bounds 'cause... Sometimes I just take things way too far Reality is surreal Wretchedness is all I feel Now it's really just a way God, I hear the voices say... Everyone's out to take your joy away Constantly scheming to keep us at bay Everyone's plotting and they are just taking You must make it stop, make them pay  Here it comes once again 'Irrational' I give in Paranoia expands within Little voices start to begin... Everyone's out to take your joy away Constantly scheming to keep us at bay Everyone's plotting and they are just taking You must make it stop, make them pay Sometimes I just take things Way too far Irrational feelings I just try too hard 'cause... What goes up must come down The problem is I have no bounds 'cause... Sometimes I just take things way too far Reality is surreal Wretchedness is all I feel Now it's really just a way God, I hear the voices say... Everyone's out to take your joy away Constantly scheming to keep us at bay Everyone's plotting and they are just taking You must make it stop, make them pay Sometimes I just take things Way too far Irrational feelings I just try too hard 'cause... What goes up must come down The problem is I have no bounds 'cause... Sometimes I just take things way too far Sometimes I just take things Way too far Irrational feelings I just try too hard 'cause... What goes up must come down The problem is I have no bounds 'cause... Sometimes I just take things way too far",The Path of Totality
People Pleaser,"My wheels keep spinning backwards They're spinning round and round and round My heart can't sometimes take it Bleeding system's broken down Why can't someone fucking tell me What the fuck's going on? Why don't we love each other? Constantly beating others down And now I find it hard To live my own life Pleasing everyone While I'm just dead inside I wake up, I can't breathe I grip my sheets real tight What the fuck is happening to me? Terrorized, I can't live this night Can someone please really tell me What the fuck's going on? Why don't we love each other? Constantly beating others down  My wheels keep spinning backwards They're spinning round and round and round My heart can't sometimes take it Bleeding system's broken down Why can't someone fucking tell me What the fuck's going on? Why don't we love each other? Constantly beating others down And now I find it hard To live my own life Pleasing everyone While I'm just dead inside I wake up, I can't breathe I grip my sheets real tight What the fuck is happening to me? Terrorized, I can't live this night Can someone please really tell me What the fuck's going on? Why don't we love each other? Constantly beating others down And now I find it hard To live my own life Pleasing everyone While I'm just dead inside You wanna take me away Wanna take me away to die Life wants to take me away It's gonna put me away tonight Oh my God, can't take this shit! Feeling like a lunatic! Holding your problems inside my head! Holy motherfucking shit! Feeling like a lunatic! A place for your bullshit to hide! A place for your bullshit to hide! A place for your bullshit to hide! A place for your bullshit to hide! A place for your bullshit to hide! Can someone please really tell me What the fuck's going on? Why don't we love each other? Constantly beating others down And now I find it hard To live my own life Pleasing everyone While I'm just dead inside Just dead inside Just dead inside Just dead inside I'm just dead inside",Remember Who You Are
Paranoid and Aroused,"Help me, I am freaking and my heart is barely beating And the demons, they are creeping around Take me, I am sinking and my lungs are barely breathing As the angels put me into the ground And everybody's peeking No one makes a sound The shadows are deceiving Paranoid and aroused Slap me, I am shaking and my guts are really aching And the demons, they're laughing out loud Spare me, I am fading and my will is dissipating As the angels put me into the ground And everybody's peeking No one makes a sound The shadows are deceiving Paranoid and aroused My mind is debating These lesions I'm making This medicine's sedating The power embracing! The bullshit I'm facing My feelings I'm hating Reality is failing This shit is degrading!  Help me, I am freaking and my heart is barely beating And the demons, they are creeping around Take me, I am sinking and my lungs are barely breathing As the angels put me into the ground And everybody's peeking No one makes a sound The shadows are deceiving Paranoid and aroused Slap me, I am shaking and my guts are really aching And the demons, they're laughing out loud Spare me, I am fading and my will is dissipating As the angels put me into the ground And everybody's peeking No one makes a sound The shadows are deceiving Paranoid and aroused My mind is debating These lesions I'm making This medicine's sedating The power embracing! The bullshit I'm facing My feelings I'm hating Reality is failing This shit is degrading! And everybody's peeking No one makes a sound The shadows are deceiving Paranoid and aroused The bullshit I'm facing My feelings I'm hating Reality is failing This shit is degrading",The Paradigm shift
It's Me Again,"I shred your books of poetry Yes, it's me again I wreck your positivity Yes, it's me again I fuck it to watch it bleed I kick it to make it scream I am the alternate choice To some straight life of mercy You see beauty, I see pain! You see sky and I see acid rain! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again I rip your throat out on a whim Yes, it's me again I only ask for everything Yes, it's me again I squeeze it to feel it breathe I smash it to fuel this need I am the antidote for Whatever sickness you feed  I shred your books of poetry Yes, it's me again I wreck your positivity Yes, it's me again I fuck it to watch it bleed I kick it to make it scream I am the alternate choice To some straight life of mercy You see beauty, I see pain! You see sky and I see acid rain! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again I rip your throat out on a whim Yes, it's me again I only ask for everything Yes, it's me again I squeeze it to feel it breathe I smash it to fuel this need I am the antidote for Whatever sickness you feed You see beauty, I see pain! You see sky and I see acid rain! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again Little Ms. Fucker don't move an inch Y'all dumb suckers can't take the heat Your blood rushing from head to feet This is what I stand for All your choices, that's done to man All you fuckers know who I am I'm the living proof that you can Turn around and say, ""It's me again"" It's me again Fuck! Fuck! Fuck! Fuck! You see beauty, I see pain! You see sky and I see acid rain! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again, it's me again! It's me again! It's me again",See You On The Other Side
Punishment Time,"I'm walking on a razor blade Careful not to cross the line Every little step I take It's punishment time now I'm getting to the end of the blade Slipping to the other side Every little step I take It's punishment time Fighting to survive, there's no tomorrow Fighting to survive, there's no today Fight or flight, I'm losing my mind Heavy on the heart, there's no tomorrow Heavy on the heart, there's no today Fight or flight, I'm losing my mind I'm hanging like a bat today Crucified by design Every little move I make It's punishment time now I'm sleeping on a bed of nails They're breaking through one at a time 'Cause every little move I make The punishment's mine  I'm walking on a razor blade Careful not to cross the line Every little step I take It's punishment time now I'm getting to the end of the blade Slipping to the other side Every little step I take It's punishment time Fighting to survive, there's no tomorrow Fighting to survive, there's no today Fight or flight, I'm losing my mind Heavy on the heart, there's no tomorrow Heavy on the heart, there's no today Fight or flight, I'm losing my mind I'm hanging like a bat today Crucified by design Every little move I make It's punishment time now I'm sleeping on a bed of nails They're breaking through one at a time 'Cause every little move I make The punishment's mine Fighting to survive, there's no tomorrow Fighting to survive, there's no today Fight or flight, I'm losing my mind Heavy on the heart, there's no tomorrow Heavy on the heart, there's no today Fight or flight, I'm losing my mind I give and don't get I'll try till my death There's something inside of me That makes me forget I give and don't get I'll try till my death There's something inside of me That makes me forget I give and don't get I'll try till my death There's something inside of me That makes me forget Fighting to survive, there's no tomorrow Fighting to survive, there's no today Fight or flight, I'm losing my mind Heavy on the heart, there's no tomorrow Heavy on the heart, there's no today Fight or flight, I'm losing my mind Losing my mind Losing my mind Losing my mind Losing my mind Losing my mind Losing my mind",The Paradigm shift
Victimized,"Our lives are fake They mean nothing, you see? Our dreams are lost Just ailing fantasy How many times have you been misguided? How many times have your hopes been smited? This life means nothing to me Victimized, deceived A black veil of insanities crushing Like fire feeding all of our disease The black veil of insanity misleads Our hearts are free Does that mean anything? Do what we're told Self-seeking hypocrisy How many times have you been misguided? How many times have your hopes been smited? This life means fuck to me Victimized, deceived A black veil of insanities crushing Like fire feeding all of our disease The black veil of insanity misleads  Our lives are fake They mean nothing, you see? Our dreams are lost Just ailing fantasy How many times have you been misguided? How many times have your hopes been smited? This life means nothing to me Victimized, deceived A black veil of insanities crushing Like fire feeding all of our disease The black veil of insanity misleads Our hearts are free Does that mean anything? Do what we're told Self-seeking hypocrisy How many times have you been misguided? How many times have your hopes been smited? This life means fuck to me Victimized, deceived A black veil of insanities crushing Like fire feeding all of our disease The black veil of insanity misleads Black veil It's comin' for me, it's comin' for me, it's comin' for me, it's comin' for me It's the black veil of insanity Set free, set free Set free, set free Set free, set free Set free, set free Set free Victimized, deceived A black veil of insanities crushing Like fire feeding all of our disease The black veil of insanity misleads",The Paradigm shift
Illuminati,"I can't believe what's happening Where is your self control? Why can't you just be honest? The corruption takes its toll You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now I can't believe this happened The fear starts to grab hold Then anger starts to take over I will not be controlled You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now  I can't believe what's happening Where is your self control? Why can't you just be honest? The corruption takes its toll You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now I can't believe this happened The fear starts to grab hold Then anger starts to take over I will not be controlled You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now They're taking over now Eating up our souls somehow Taking over now Parasites, they run around The culprits won't be found They lie behind this mask of wealth They're taking over now Illuminati they hide You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now You rape our hope Too proud to cope You've built this house of shame You smile and you gloat This disease you promote An infection is what we are now",The Path of Totality
Innocent Bystander,"I know it's not like me to Hold back, but this time I knew You must be silent to increase the volume In your head blood run red I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! You ripped your own self in two Swear I had nothing to do With what's been done You know you can't but you can In your head blood run red I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander!  I know it's not like me to Hold back, but this time I knew You must be silent to increase the volume In your head blood run red I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! You ripped your own self in two Swear I had nothing to do With what's been done You know you can't but you can In your head blood run red I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! Standing at the edge here Enough for me to hover by the bit here Enough you see I miss you with my head - fear So wrong that they will never reap our deaths clear Enough is enough! Enough is enough! Enough is enough! Enough is enough! Enough is enough! Enough is enough! Enough is enough! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm a spectator, the motivator! Shut up, shut up and do it to yourself! I'm just an innocent bystander! I'm just an innocent bystander! I'm just an innocent bystander! I'm just an innocent bystander!",Untitled
Overture or Obituary,I'm facing the light But fading to black I'm offering peace As I'm stabbed in the back Yet I'm feeling ignored My house is made of steel With paper for doors I've tried to hate you But feel regret I'm most uncertain I've lost the bet I'm waiting to watch it I'm waiting to see Is this my overture or obituary? I'm holding the torch But melting my fists I'm first in the line Yet last on the list Yet I'm feeling ignored My house is made of steel With paper for doors  I'm facing the light But fading to black I'm offering peace As I'm stabbed in the back Yet I'm feeling ignored My house is made of steel With paper for doors I've tried to hate you But feel regret I'm most uncertain I've lost the bet I'm waiting to watch it I'm waiting to see Is this my overture or obituary? I'm holding the torch But melting my fists I'm first in the line Yet last on the list Yet I'm feeling ignored My house is made of steel With paper for doors I've tried to hate you But feel regret I'm most uncertain I've lost the bet I'm waiting to watch it I'm waiting to see Is this my overture or obituary? Or obituary! Or obituary! I tried not to choke you! But now you're dead! I'm most uncertain! Should I feel regret? I've tried to hate you But feel regret I'm most uncertain I've lost the bet I'm waiting to watch it I'm waiting to see Is this my overture or obituary? Is this my overture or obituary? Is this my overture or obituary?,Untitled
Inside Out,"I like the way you're so fucked up Naked and wearing no makeup I watch your pulse beneath your skin Sometimes I wish I could crawl in I don't care what you talk like! I don't care how you dress! I don't care 'bout your facial features! I couldn't care less! I don't need conversation! I've got nothing to say! I know what you're about! I want you inside out! I like the way your ribs contract When you are lying on your back The thrills and yells eternalize The thoughts behind those crazy eyes I don't care what you talk like! I don't care how you dress! I don't care 'bout your facial features! I couldn't care less! I don't need conversation! I've got nothing to say! I know what you're about! I want you inside out!  I like the way you're so fucked up Naked and wearing no makeup I watch your pulse beneath your skin Sometimes I wish I could crawl in I don't care what you talk like! I don't care how you dress! I don't care 'bout your facial features! I couldn't care less! I don't need conversation! I've got nothing to say! I know what you're about! I want you inside out! I like the way your ribs contract When you are lying on your back The thrills and yells eternalize The thoughts behind those crazy eyes I don't care what you talk like! I don't care how you dress! I don't care 'bout your facial features! I couldn't care less! I don't need conversation! I've got nothing to say! I know what you're about! I want you inside out! Bitch so untamed but outside it a work of art But underneath it, you're beautiful when you're torn apart That's the fucking amazing shit the wish that makes you Take the punishment straight to fit your heart as I squeeze it That's the fucking amazing shit the wish that makes you Take the punishment to straight to fit your heart as I squeeze it I drink the milk that's in your breast I wouldn't even mind your shit I put my tongue inside your ear I'm gonna eat you up right here I don't care what you talk like! I don't care how you dress! I don't care 'bout your facial features! I couldn't care less! I don't need conversation! I've got nothing to say! I know what you're about! I want you inside out!",See You On The Other Side
Kill Mercy Within,"Disgraced Expendable, we are not really real Mirage of solitude Is what they try to heal And I will not be made to feel We are sealed in a fake charade Spewing vile atrocities Bringing existence to its knees I will manifest my sins And I will kill mercy within Immersed in this hypnotic spell Influenced by the hate that swells I'm not terrified anymore There's nothing left but open sores Disengaged Relinquish the reality I've known I'm feeling like I'm alienated From my own And I will not be made to feel We are sealed in a fake charade  Disgraced Expendable, we are not really real Mirage of solitude Is what they try to heal And I will not be made to feel We are sealed in a fake charade Spewing vile atrocities Bringing existence to its knees I will manifest my sins And I will kill mercy within Immersed in this hypnotic spell Influenced by the hate that swells I'm not terrified anymore There's nothing left but open sores Disengaged Relinquish the reality I've known I'm feeling like I'm alienated From my own And I will not be made to feel We are sealed in a fake charade Spewing vile atrocities Bringing existence to its knees I will manifest my sins And I will kill mercy within Immersed in this hypnotic spell Influenced by the hate that swells I'm not terrified anymore There's nothing left but open sores Spewing vile atrocities Bringing existence to its knees I will manifest my sins And I will kill mercy within Immersed in this hypnotic spell Influenced by the hate that swells I'm not terrified anymore There's nothing left but open sores There's nothing left but open sores",The Path of Totality
Eaten Up Inside,"I'll die smiling Something I heard someone says To me, will make me laugh And I'll lay back and fade away Let me go, I'll be fine Frozen here in time Sick of being alive Eaten up inside! Let me die, go away! I never got what I wanted! I never got what I needed! What's on my mind? Who can say? It's my infection I'm feeding! I cannot stop all this bleeding! I'll be ready Give me the morphine And I'll go to sleep as I dream Maybe I will just slide away Let me go, I'll be fine Frozen here in time Sick of being alive  I'll die smiling Something I heard someone says To me, will make me laugh And I'll lay back and fade away Let me go, I'll be fine Frozen here in time Sick of being alive Eaten up inside! Let me die, go away! I never got what I wanted! I never got what I needed! What's on my mind? Who can say? It's my infection I'm feeding! I cannot stop all this bleeding! I'll be ready Give me the morphine And I'll go to sleep as I dream Maybe I will just slide away Let me go, I'll be fine Frozen here in time Sick of being alive Eaten up inside! Let me die, go away! I never got what I wanted! I never got what I needed! What's on my mind? Who can say? It's my infection I'm feeding! I cannot stop all this bleeding! Eaten up inside! Let me die, go away! I never got what I wanted! I never got what I needed! What's on my mind? Who can say? It's my infection I'm feeding! I cannot stop all this bleeding! Eaten up inside!",See You On The Other Side
Move On,"Feeling out of place Something must be wrong Emotions in my space Tight grip holding on I can't control the events around me I can't console the stress inside me And once I turn off my brain I realize I am alive I want you to see I'm trying to please Everyone around me! I'm down on my knees The stress makes me bleed It feels like they're all stabbing me! Feeling out of place Why must I hold on? Anger I can taste Tight-lipped self is gone I can't control the events around me I can't console the stress inside me And once I turn off my brain I realize I am alive  Feeling out of place Something must be wrong Emotions in my space Tight grip holding on I can't control the events around me I can't console the stress inside me And once I turn off my brain I realize I am alive I want you to see I'm trying to please Everyone around me! I'm down on my knees The stress makes me bleed It feels like they're all stabbing me! Feeling out of place Why must I hold on? Anger I can taste Tight-lipped self is gone I can't control the events around me I can't console the stress inside me And once I turn off my brain I realize I am alive I want you to see I'm trying to please Everyone around me! I'm down on my knees The stress makes me bleed It feels like they're all stabbing me! What the fuck do you want from me? I am just a human being! Living my life to please everyone! I can't do this anymore! Being everybody's whore! Being everybody's whore! Being everybody's whore! Being everybody's whore! For once, I'm gonna stand up and please me! I want you to see I'm trying to please Everyone around me! I'm down on my knees The stress makes me bleed It feels like they're all stabbing me! Being everybody's whore! Being everybody's whore! Being everybody's whore! Being everybody's whore!",Remember Who You Are
Fuels the Comedy,"Oh my God I'm feeling crazy man What could it be? As I walk into this place, everyone's staring at me Somehow I feel I've got A fucked up disease 'Cause I part the seas Fingers come out pointing at me Do I make you laugh? Do you think I'm funny? Haha, or funny queer? Bitch, get outta here Let me make myself clear I don't give a fuck All you people can suck My motherfucking dick! What's with the hostility? Why is it so provoked? You're living in a fantasy That's how you cope Go ahead kick the shit out of me It just fuels the comedy Feel that you're superior I feel you're just plain absurd Ridiculous vanity that is blurred Go ahead kick the shit out of me It just fuels the comedy  Oh my God I'm feeling crazy man What could it be? As I walk into this place, everyone's staring at me Somehow I feel I've got A fucked up disease 'Cause I part the seas Fingers come out pointing at me Do I make you laugh? Do you think I'm funny? Haha, or funny queer? Bitch, get outta here Let me make myself clear I don't give a fuck All you people can suck My motherfucking dick! What's with the hostility? Why is it so provoked? You're living in a fantasy That's how you cope Go ahead kick the shit out of me It just fuels the comedy Feel that you're superior I feel you're just plain absurd Ridiculous vanity that is blurred Go ahead kick the shit out of me It just fuels the comedy Oh my god! This shit is crazy man look at this scene As I watch these stupid people Act like they are machines They should really all Drop to their knees All the jealousy That's the one thing I guarantee Do I make you laugh? Do you think I'm funny? Haha, or funny queer? Bitch, get outta here Let me make myself clear I don't give a fuck All you people can suck My motherfucking dick! What's with the hostility? Why is it so provoked? You're living in a fantasy That's how you cope Go ahead kick the shit out of me It just fuels the comedy Feel that you're superior I feel you're just plain absurd Ridiculous vanity that is blurred Go ahead kick the shit out of me It just fuels the comedy What's with the hostility? Why is it so provoked? You're living in a fantasy That's how you cope Go ahead kick the shit out of me It just fuels the comedy Feel that you're superior I feel you're just plain absurd Ridiculous vanity that is blurred Go ahead kick the shit out of me It just fuels the comedy",The Path of Totality
Sing Sorrow,"In the deepest part of me Like an unknown enemy I was never meant to find... Little seed of purity In the dark, they laugh at me Still, I'm blinded by its light Don't try to make it right! Does anybody know about love? Does anybody care about God? If you're with me, sing sorrow! Penny for your thoughts I fear We need a little help round here If you're with me, sing sorrow! When the stars don't ever heal Do you fear you'll never feel? What it is could be at peace? You're craving a release! Does anybody know about love? Does anybody care about God? If you're with me, sing sorrow! Penny for your thoughts I fear We need a little help round here If you're with me, sing sorrow!  In the deepest part of me Like an unknown enemy I was never meant to find... Little seed of purity In the dark, they laugh at me Still, I'm blinded by its light Don't try to make it right! Does anybody know about love? Does anybody care about God? If you're with me, sing sorrow! Penny for your thoughts I fear We need a little help round here If you're with me, sing sorrow! When the stars don't ever heal Do you fear you'll never feel? What it is could be at peace? You're craving a release! Does anybody know about love? Does anybody care about God? If you're with me, sing sorrow! Penny for your thoughts I fear We need a little help round here If you're with me, sing sorrow! I don't understand here Why God would do me this way I lived a life, was always good The one thing I need to take away To take away! Take away! Take away! Take away! Take away! Take away! Take away! Away! It took away my world All it left was pain And all this time was for nothing Does anybody know about love? Does anybody care about God? If you're with me, sing sorrow! Penny for your thoughts I fear We need a little help round here If you're with me, sing sorrow!",Untitled
Holding All These Lies,Do you really want to see? I don't think I can take this anymore You are naive and I am nothing I'm disgusting and so much more Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain Do you really want to see The torment hatred of this world? Hand in a book and I believed it All it brought me was pain and more Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain  Do you really want to see? I don't think I can take this anymore You are naive and I am nothing I'm disgusting and so much more Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain Do you really want to see The torment hatred of this world? Hand in a book and I believed it All it brought me was pain and more Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain I believed I believed Holding all these lies I told you Holding all the lies I told you Holding all these lies I told you Holding all these lies I told you Holding all the lies I told you Feeling like somehow I spoiled you Dying is a trial I've been to This is the time for truth and pain Truth is pain! Truth is pain! Truth is pain! Truth is pain! Truth is pain! I believed! I never meant to hurt you! I believed! I never meant to betray you! I never meant to hurt you! I never meant to hurt you!,Remember Who You Are
The Past,You chose to take From the past You want a game That's built to last 'Cause love without affection Is hate without the pain Life is a connection Separate from the brain You chose to take from the past Can't you see the pain in my eyes? Can't you see the betrayal in disguise? I can't live with all your lies again! I can't trust anything even you my friend! You wanna live In the past You'll do anything To make your pain last 'Cause love without affection Is hate without the pain Life is a connection Separate from the brain You just take from the past  You chose to take From the past You want a game That's built to last 'Cause love without affection Is hate without the pain Life is a connection Separate from the brain You chose to take from the past Can't you see the pain in my eyes? Can't you see the betrayal in disguise? I can't live with all your lies again! I can't trust anything even you my friend! You wanna live In the past You'll do anything To make your pain last 'Cause love without affection Is hate without the pain Life is a connection Separate from the brain You just take from the past Can't you see the pain in my eyes? Can't you see the betrayal in disguise? I can't live with all your lies again! I can't trust anything even you my friend! Can't you see the pain in my eyes? Can't you see the betrayal in disguise? I can't live with all your lies again! I can't trust anything with you my friend! Can't you see the pain in my eyes? Can't you see the betrayal in disguise? I can't live with all your lies again! It's the end!,Remember Who You Are
